# HuggingFace language catalog: code | Display — bundled OFFLINE FALLBACK snapshot generated from
# https://huggingface.co/api/models-tags-by-type (complete, not curated). Primary source is live;
# this file is only used when live and cache are both unavailable. Regenerate by re-fetching.

en|English
zh|Chinese
fr|French
es|Spanish
de|German
ja|Japanese
ko|Korean
pt|Portuguese
it|Italian
ru|Russian
ar|Arabic
hi|Hindi
th|Thai
multilingual|multilingual
tr|Turkish
vi|Vietnamese
id|Indonesian
pl|Polish
nl|Dutch
sv|Swedish
uk|Ukrainian
ro|Romanian
fi|Finnish
fa|Persian
cs|Czech
bn|Bengali
da|Danish
el|Greek
he|Hebrew
ms|Malay
ne|Nepali
hu|Hungarian
ta|Tamil
ur|Urdu
bg|Bulgarian
te|Telugu
ca|Catalan
no|Norwegian
sw|Swahili
mr|Marathi
sl|Slovenian
sk|Slovak
sr|Serbian
et|Estonian
gu|Gujarati
lt|Lithuanian
hr|Croatian
lv|Latvian
my|Burmese
ml|Malayalam
is|Icelandic
gl|Galician
pa|Panjabi
tl|Tagalog
kn|Kannada
km|Khmer
fra|French
eu|Basque
kk|Kazakh
af|Afrikaans
am|Amharic
ka|Georgian
mn|Mongolian
ha|Hausa
lo|Lao
as|Assamese
hy|Armenian
cy|Welsh
mk|Macedonian
si|Sinhala
be|Belarusian
yo|Yoruba
az|Azerbaijani
uz|Uzbek
sq|Albanian
bs|Bosnian
ga|Irish
mt|Maltese
sd|Sindhi
jv|Javanese
sa|Sanskrit
eng|English
so|Somali
la|Latin
su|Sundanese
ps|Pashto
mg|Malagasy
sn|Shona
spa|Spanish
or|Oriya
yi|Yiddish
xh|Xhosa
ht|Haitian
por|Portuguese
deu|German
nn|Norwegian Nynorsk
lb|Luxembourgish
code|code
ky|Kyrgyz
br|Breton
ln|Lingala
bo|Tibetan
ig|Igbo
eo|Esperanto
mi|Māori
ita|Italian
oc|Occitan
tg|Tajik
jpn|Japanese
rus|Russian
vie|Vietnamese
zu|Zulu
tha|Thai
zho|Chinese
kor|Korean
tt|Tatar
